,SITUATION,EMOTION
1264,I went to see the entrance examination results at university.  I rejoyced at my success.,JOY
1265,"I borrowed a car which was supposed to be used for a long journey a few hours later, and one of the tyres burst in the middle of the town and I did not know what to do.",FEAR
1266,"An utterance, which I had intended to be a joke, was taken as an offence.  In my opinion, this was stupid, and I got angry.",ANGER
1267,My best friend had a relatively severe illness.  I was sad because she was suffering.,SADNESS
1268,"A man tried to have sexual intercourse with me, though I had communicated my unwillingness.  Later on, I felt disgust at that person as well as myself because I had partly submitted.",DISGUST
1269,"I told my friend about how I had calculated my salary by cheating a little.  When my friend remarked about it, I understood that it was wrong to do so, and I felt ashamed.",SHAME
1270,"I am going steady with a boy, but I had sexual intercourse with another one, and I felt guilty about it afterwards.",GUILT
1271,A good report card (a scholarship) in primary school.,JOY
1272,I was walking home with a friend at night along a quiet street.  Something started rustling in the bush : it was an exhibitionist.,FEAR
1273,I got angry at a friend of mine whom I caught reading my notebook (almanach).,ANGER
1274,When my grandmother died of cancer.,SADNESS
1275,"In a lift a drunken, fat and untidy man tried to make advances at me.",DISGUST
1276,[ Sometimes I have by accident said to another person something in which it is easy to read a negative attitude.],SHAME
1277,"For the sheer pleasure of it, I quarelled with my boyfriend who was trying  to be especially kind to me.",GUILT
1278,When I made the acquaintance of a certain person.,JOY
1279,"When abroad, while driving a car along a dark, winding road.",FEAR
1280,When my sister took my things without having asked for my permission first.,ANGER
1281,When my grandfather died.,SADNESS
1282,"When I was working, I got treated in a way which I felt was not democratic.",DISGUST
1283,"While working as a domestic helper, one day I had not cleaned up very well and they made a remark about it.",SHAME
1284,"When I decided to move away from my parent's home, my mother told me that it was as if a part of her had been torn out of her.",GUILT
1285,"When I went to a job interview, I met a person who was very nice, and his attitude made me glad.",JOY
1286,"My episode of fright happened when I came to study.  I had to stand in front of my still unknown fellow students and talk about myself.  My hands shook, I flushed and became tongue-tied.",FEAR
1287,"I felt guilty when I spent a night at my boyfriend's place, particularly because I had been harsh and spiteful when I had left home.  The reason was that I feared a possible discussion on the subject and I wanted to leave defiantly.",GUILT
1288,"I was in a restaurant with my boyfriend when I saw my best female friend after not seeing her for two weeks.  We rejoyced, hugged and had a long talk.",JOY
1289,"One evening, while going to meet a friend of mine, I had to cross a meadow by a dark road.  There were bushes on the other side of the road.  The weather was damp and a bit foggy.  I heard steps behind me and kept speeding up my steps all the time.",FEAR
1290,"My brother told me that a person (whom I know) had insulted him.  I am very fond of my brother, and as he himself can not get angry or hurt, my protectiveness was aroused and I got angry.",ANGER
1291,"My guinea-pig had been ill for a couple of days.  One evening, when I came home I enquired as to how it was doing.  My mother's expression told me that it had died.  My knees refused to support me and I began to weep convulsively.",SADNESS
1292,"I happened to see two boys fighting, one of them fell down and hurt his head.  The other one used this to spank the head of the  boy on the ground.",DISGUST
1293,"I had been away all night without having told my parents about it.  In the morning when I came home, my mother looked tired.  She said that she had been awake all night because of me and that she was angry and disappointed.",SHAME
1294,"I had not written to, or called my grandmother, who was lonely, for a long time.  My mother asked me to call her on her behalf and when I did so, my grandmother was delighted and she told me that she had been waiting for some news from us.",GUILT
1295,When I was sick my husband bought me a piece of cake.,JOY
1296,I saw a man who had had a heart-attack and who was being treated for it.  I feared that my own father could have been there.,FEAR
1297,"When I saw a big man hit another one, and nobody did anything.",ANGER
1298,"When my sister left to go home, in Sweden, after the Christmas Holidays.",SADNESS
1299,"I once watched the series called \Dynasty\"" on TV, and I detested áit.""",DISGUST
1300,"I feel guilty as I am not working, and even my studies are not progressing.",SHAME
1301,"When my red-cheeked, content child runs to meet me in the yard of the kindergarten and gives me a moist kiss on my cheek.",JOY
1302,A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.,FEAR
1303,"Without my permission, my son had made popcorn after coming back from school.  The consequences were a spoilt kettle and chaos in the kitchen but what could have happened with the hot grease ?",ANGER
1304,The death of a close relative.,SADNESS
1305,One of my fellow students used questionable and unfair means to advance her studies faster than others.  I detested her.,DISGUST
1306,My friend told me in a fairly loud voice the blunders she committed last night.,SHAME
1307,I stopped my car in front of a pedestrian crossing as a child was crossing the street.  The car driving in the next lane did not stop and the child got hurt.  Had I not stopped ...,GUILT
1308,"After my vacations, one day after a lecture it occured to me to buy a rose for my mother.  We went together to a pub and my mother told me that she would be getting married next Spring.  I did not known about it and so was all the more glad.",JOY
